Series ID,Year,Period,Label,Value
LASST420000000000003,2019,M01,2019 Jan,4.1
LASST420000000000003,2019,M02,2019 Feb,4.1
LASST420000000000003,2019,M03,2019 Mar,4.1
LASST420000000000003,2019,M04,2019 Apr,4.1
LASST420000000000003,2019,M05,2019 May,4.2
LASST420000000000003,2019,M06,2019 Jun,4.3
LASST420000000000003,2019,M07,2019 Jul,4.4
LASST420000000000003,2019,M08,2019 Aug,4.5
LASST420000000000003,2019,M09,2019 Sep,4.6
LASST420000000000003,2019,M10,2019 Oct,4.6
LASST420000000000003,2019,M11,2019 Nov,4.6
LASST420000000000003,2019,M12,2019 Dec,4.6
LASST420000000000003,2020,M01,2020 Jan,4.7
LASST420000000000003,2020,M02,2020 Feb,4.7
LASST420000000000003,2020,M03,2020 Mar,5.8
LASST420000000000003,2020,M04,2020 Apr,16.1
LASST420000000000003,2020,M05,2020 May,13.4
LASST420000000000003,2020,M06,2020 Jun,13.2
LASST420000000000003,2020,M07,2020 Jul,12.5
LASST420000000000003,2020,M08,2020 Aug,10.3
