Series ID,Year,Period,Label,Value
LNU04034239,2019,M01,2019 Jan,2.4
LNU04034239,2019,M02,2019 Feb,2.2
LNU04034239,2019,M03,2019 Mar,2.2
LNU04034239,2019,M04,2019 Apr,2.1
LNU04034239,2019,M05,2019 May,2.3
LNU04034239,2019,M06,2019 Jun,2.6
LNU04034239,2019,M07,2019 Jul,2.3
LNU04034239,2019,M08,2019 Aug,2.3
LNU04034239,2019,M09,2019 Sep,2.2
LNU04034239,2019,M10,2019 Oct,2.1
LNU04034239,2019,M11,2019 Nov,2.1
LNU04034239,2019,M12,2019 Dec,2.1
LNU04034239,2020,M01,2020 Jan,2
LNU04034239,2020,M02,2020 Feb,2.2
LNU04034239,2020,M03,2020 Mar,2.8
LNU04034239,2020,M04,2020 Apr,10.3
LNU04034239,2020,M05,2020 May,9.5
LNU04034239,2020,M06,2020 Jun,7.1
LNU04034239,2020,M07,2020 Jul,6.6
LNU04034239,2020,M08,2020 Aug,5.4
LNU04034239,2020,M09,2020 Sep,4.5
